Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,currTime
230,0,0,0,0,0,0,0,0,0,0,1150
231,0,0,0,0,0,0,0,0,0,0,1155
232,0,0,0,0,0,0,0,0,0,0,1160
233,0,0,0,0,0,0,0,0,0,0,1165
234,0,0,0,0,0,0,0,0,0,0,1170
235,0,0,0,0,0,0,0,0,0,0,1175
236,0,0,0,0,0,0,0,0,0,0,1180
237,0,0,0,0,0,0,0,0,0,0,1185
238,0,0,0,0,0,0,0,0,0,0,1190
239,0,0,0,0,0,0,0,0,0,0,1195
240,0,0,0,0,0,0,0,0,0,0,1200
241,0,0,0,0,0,0,0,0,0,0,1205
242,0,0,0,0,0,0,0,0,0,0,1210
243,0,0,0,0,0,0,0,0,0,0,1215
244,0,0,0,0,0,0,0,0,0,0,1220
245,0,0,0,0,0,0,0,0,0,0,1225
246,0,0,0,0,0,0,0,0,0,0,1230
247,0,0,0,0,0,0,0,0,0,0,1235
248,0,0,0,0,0,0,0,0,0,0,1240
249,0,0,0,0,0,0,0,0,0,0,1245
250,0,0,0,0,0,0,0,0,0,0,1250
251,0,0,0,0,0,0,0,0,0,0,1255
252,0,0,0,0,0,0,0,0,0,0,1260
253,0,0,0,0,0,0,0,0,0,0,1265
254,0,0,0,0,0,0,0,0,0,0,1270
255,0,0,0,0,0,0,0,0,0,0,1275
256,0,0,0,0,0,0,0,0,0,0,1280
257,0,0,0,0,0,0,0,0,0,0,1285
258,0,0,0,0,0,0,0,0,0,0,1290
259,0,0,0,0,0,0,0,0,0,0,1295
260,0,0,0,0,0,0,0,0,0,0,1300
261,0,0,0,0,0,0,0,0,0,0,1305
262,0,0,0,0,0,0,0,0,0,0,1310
263,0,0,0,0,0,0,0,0,0,0,1315
264,0,0,0,0,0,0,0,0,0,0,1320
265,0,0,0,0,0,0,0,0,0,0,1325
266,0,0,0,0,0,0,0,0,0,0,1330
267,0,0,0,0,0,0,0,0,0,0,1335
268,0,0,0,0,0,0,0,0,0,0,1340
269,0,0,0,0,0,0,0,0,0,0,1345
270,0,0,0,0,0,0,0,0,0,0,1350
271,0,0,0,0,0,0,0,0,0,0,1355
272,0,0,0,0,0,0,0,0,0,0,1360
273,0,0,0,0,0,0,0,0,0,0,1365
274,0,0,0,0,0,0,0,0,0,0,1370
275,0,0,0,0,0,0,0,0,0,0,1375
276,0,0,0,0,0,0,0,0,0,0,1380
277,0,0,0,0,0,0,0,0,0,0,1385
278,0,0,0,0,0,0,0,0,0,0,1390
279,0,0,0,0,0,0,0,0,0,0,1395
280,0,0,0,0,0,0,0,0,0,0,1400
281,0,0,0,0,0,0,0,0,0,0,1405
282,0,0,0,0,0,0,0,0,0,0,1410
283,0,0,0,0,0,0,0,0,0,0,1415
284,0,0,0,0,0,0,0,0,0,0,1420
285,0,0,0,0,0,0,0,0,0,0,1425
286,0,0,0,0,0,0,0,0,0,0,1430
287,0,0,0,0,0,0,0,0,0,0,1435
288,0,0,0,0,0,0,0,0,0,0,1440
289,0,0,0,0,0,0,0,0,0,0,1445
290,0,0,0,0,0,0,0,0,0,0,1450
291,0,0,0,0,0,0,0,0,0,0,1455
292,0,0,0,0,0,0,0,0,0,0,1460
293,0,0,0,0,0,0,0,0,0,0,1465
294,0,0,0,0,0,0,0,0,0,0,1470
295,0,0,0,0,0,0,0,0,0,0,1475
296,0,0,0,0,0,0,0,0,0,0,1480
297,0,0,0,0,0,0,0,0,0,0,1485
298,0,0,0,0,0,0,0,0,0,0,1490
299,0,0,0,0,0,0,0,0,0,0,1495
300,0,0,0,0,0,0,0,0,0,0,1500
301,0,0,0,0,0,0,0,0,0,0,1505
302,0,0,0,0,0,0,0,0,0,0,1510
303,0,0,0,0,0,0,0,0,0,0,1515
304,0,0,0,0,0,0,0,0,0,0,1520
305,0,0,0,0,0,0,0,0,0,0,1525
306,0,0,0,0,0,0,0,0,0,0,1530
307,0,0,0,0,0,0,0,0,0,0,1535
308,0,0,0,0,0,0,0,0,0,0,1540
309,0,0,0,0,0,0,0,0,0,0,1545
310,0,0,0,0,0,0,0,0,0,0,1550
311,0,0,0,0,0,0,0,0,0,0,1555
312,0,0,0,0,0,0,0,0,0,0,1560
313,0,0,0,0,0,0,0,0,0,0,1565
314,0,0,0,0,0,0,0,0,0,0,1570
315,0,0,0,0,0,0,0,0,0,0,1575
316,0,0,0,0,0,0,0,0,0,0,1580
317,0,0,0,0,0,0,0,0,0,0,1585
318,0,0,0,0,0,0,0,0,0,0,1590
319,0,0,0,0,0,0,0,0,0,0,1595
320,0,0,0,0,0,0,0,0,0,0,1600
321,0,0,0,0,0,0,0,0,0,0,1605
322,0,0,0,0,0,0,0,0,0,0,1610
323,0,0,0,0,0,0,0,0,0,0,1615
324,0,0,0,0,0,0,0,0,0,0,1620
325,0,0,0,0,0,0,0,0,0,0,1625
326,0,0,0,0,0,0,0,0,0,0,1630
327,0,0,0,0,0,0,0,0,0,0,1635
328,0,0,0,0,0,0,0,0,0,0,1640
329,0,0,0,0,0,0,0,0,0,0,1645
330,0,0,0,0,0,0,0,0,0,0,1650
331,0,0,0,0,0,0,0,0,0,0,1655
332,0,0,0,0,0,0,0,0,0,0,1660
333,0,0,0,0,0,0,0,0,0,0,1665
334,0,0,0,0,0,0,0,0,0,0,1670
335,0,0,0,0,0,0,0,0,0,0,1675
336,0,0,0,0,0,0,0,0,0,0,1680
337,0,0,0,0,0,0,0,0,0,0,1685
338,0,0,0,0,0,0,0,0,0,0,1690
339,0,0,0,0,0,0,0,0,0,0,1695
340,0,0,0,0,0,0,0,0,0,0,1700
341,0,0,0,0,0,0,0,0,0,0,1705
342,0,0,0,0,0,0,0,0,0,0,1710
343,0,0,0,0,0,0,0,0,0,0,1715
344,0,0,0,0,0,0,0,0,0,0,1720
345,0,0,0,0,0,0,0,0,0,0,1725
346,0,0,0,0,0,0,0,0,0,0,1730
347,0,0,0,0,0,0,0,0,0,0,1735
348,0,0,0,0,0,0,0,0,0,0,1740
349,0,0,0,0,0,0,0,0,0,0,1745
350,0,0,0,0,0,0,0,0,0,0,1750
351,0,0,0,0,0,0,0,0,0,0,1755
352,0,0,0,0,0,0,0,0,0,0,1760
353,0,0,0,0,0,0,0,0,0,0,1765
354,0,0,0,0,0,0,0,0,0,0,1770
355,0,0,0,0,0,0,0,0,0,0,1775
356,0,0,0,0,0,0,0,0,0,0,1780
357,0,0,0,0,0,0,0,0,0,0,1785
358,0,0,0,0,0,0,0,0,0,0,1790
359,0,0,0,0,0,0,0,0,0,0,1795
360,0,0,0,0,0,0,0,0,0,0,1800
361,0,0,0,0,0,0,0,0,0,0,1805
362,0,0,0,0,0,0,0,0,0,0,1810
363,0,0,0,0,0,0,0,0,0,0,1815
364,0,0,0,0,0,0,0,0,0,0,1820
365,0,0,0,0,0,0,0,0,0,0,1825
366,0,0,0,0,0,0,0,0,0,0,1830
367,0,0,0,0,0,0,0,0,0,0,1835
368,0,0,0,0,0,0,0,0,0,0,1840
369,0,0,0,0,0,0,0,0,0,0,1845
370,0,0,0,0,0,0,0,0,0,0,1850
371,0,0,0,0,0,0,0,0,0,0,1855
372,0,0,0,0,0,0,0,0,0,0,1860
373,0,0,0,0,0,0,0,0,0,0,1865
374,0,0,0,0,0,0,0,0,0,0,1870
375,0,0,0,0,0,0,0,0,0,0,1875
376,0,0,0,0,0,0,0,0,0,0,1880
377,0,0,0,0,0,0,0,0,0,0,1885
378,0,0,0,0,0,0,0,0,0,0,1890
379,0,0,0,0,0,0,0,0,0,0,1895
380,0,0,0,0,0,0,0,0,0,0,1900
381,0,0,0,0,0,0,0,0,0,0,1905
382,0,0,0,0,0,0,0,0,0,0,1910
383,0,0,0,0,0,0,0,0,0,0,1915
384,0,0,0,0,0,0,0,0,0,0,1920
385,0,0,0,0,0,0,0,0,0,0,1925
386,0,0,0,0,0,0,0,0,0,0,1930
387,0,0,0,0,0,0,0,0,0,0,1935
388,0,0,0,0,0,0,0,0,0,0,1940
389,0,0,0,0,0,0,0,0,0,0,1945
390,0,0,0,0,0,0,0,0,0,0,1950
391,0,0,0,0,0,0,0,0,0,0,1955
392,0,0,0,0,0,0,0,0,0,0,1960
393,0,0,0,0,0,0,0,0,0,0,1965
394,0,0,0,0,0,0,0,0,0,0,1970
395,0,0,0,0,0,0,0,0,0,0,1975
396,0,0,0,0,0,0,0,0,0,0,1980
397,0,0,0,0,0,0,0,0,0,0,1985
398,0,0,0,0,0,0,0,0,0,0,1990
399,0,0,0,0,0,0,0,0,0,0,1995
400,0,0,0,0,0,0,0,0,0,0,2000
401,0,0,0,0,0,0,0,0,0,0,2005
402,0,0,0,0,0,0,0,0,0,0,2010
403,0,0,0,0,0,0,0,0,0,0,2015
404,0,0,0,0,0,0,0,0,0,0,2020
405,0,0,0,0,0,0,0,0,0,0,2025
406,0,0,0,0,0,0,0,0,0,0,2030
407,0,0,0,0,0,0,0,0,0,0,2035
408,0,0,0,0,0,0,0,0,0,0,2040
409,0,0,0,0,0,0,0,0,0,0,2045
410,0,0,0,0,0,0,0,0,0,0,2050
411,0,0,0,0,0,0,0,0,0,0,2055
412,0,0,0,0,0,0,0,0,0,0,2060
413,0,0,0,0,0,0,0,0,0,0,2065
414,0,0,0,0,0,0,0,0,0,0,2070
415,0,0,0,0,0,0,0,0,0,0,2075
416,0,0,0,0,0,0,0,0,0,0,2080
417,0,0,0,0,0,0,0,0,0,0,2085
418,0,0,0,0,0,0,0,0,0,0,2090
419,0,0,0,0,0,0,0,0,0,0,2095
420,0,0,0,0,0,0,0,0,0,0,2100
421,0,0,0,0,0,0,0,0,0,0,2105
422,0,0,0,0,0,0,0,0,0,0,2110
423,0,0,0,0,0,0,0,0,0,0,2115
424,0,0,0,0,0,0,0,0,0,0,2120
425,0,0,0,0,0,0,0,0,0,0,2125
426,0,0,0,0,0,0,0,0,0,0,2130
427,0,0,0,0,0,0,0,0,0,0,2135
428,0,0,0,0,0,0,0,0,0,0,2140
429,0,0,0,0,0,0,0,0,0,0,2145
430,0,0,0,0,0,0,0,0,0,0,2150
431,0,0,0,0,0,0,0,0,0,0,2155
432,0,0,0,0,0,0,0,0,0,0,2160
433,0,0,0,0,0,0,0,0,0,0,2165
434,0,0,0,0,0,0,0,0,0,0,2170
435,0,0,0,0,0,0,0,0,0,0,2175
436,0,0,0,0,0,0,0,0,0,0,2180
437,0,0,0,0,0,0,0,0,0,0,2185
438,0,0,0,0,0,0,0,0,0,0,2190
439,0,0,0,0,0,0,0,0,0,0,2195
440,0,0,0,0,0,0,0,0,0,0,2200
441,0,0,0,0,0,0,0,0,0,0,2205
442,0,0,0,0,0,0,0,0,0,0,2210
443,0,0,0,0,0,0,0,0,0,0,2215
444,0,0,0,0,0,0,0,0,0,0,2220
445,0,0,0,0,0,0,0,0,0,0,2225
446,0,0,0,0,0,0,0,0,0,0,2230
447,0,0,0,0,0,0,0,0,0,0,2235
448,0,0,0,0,0,0,0,0,0,0,2240
449,0,0,0,0,0,0,0,0,0,0,2245
450,0,0,0,0,0,0,0,0,0,0,2250
451,0,0,0,0,0,0,0,0,0,0,2255
452,0,0,0,0,0,0,0,0,0,0,2260
453,0,0,0,0,0,0,0,0,0,0,2265
454,0,0,0,0,0,0,0,0,0,0,2270
455,0,0,0,0,0,0,0,0,0,0,2275
456,0,0,0,0,0,0,0,0,0,0,2280
457,0,0,0,0,0,0,0,0,0,0,2285
458,0,0,0,0,0,0,0,0,0,0,2290
459,0,0,0,0,0,0,0,0,0,0,2295
460,0,0,0,0,0,0,0,0,0,0,2300
461,0,0,0,0,0,0,0,0,0,0,2305
462,0,0,0,0,0,0,0,0,0,0,2310
463,0,0,0,0,0,0,0,0,0,0,2315
464,0,0,0,0,0,0,0,0,0,0,2320
465,0,0,0,0,0,0,0,0,0,0,2325
466,0,0,0,0,0,0,0,0,0,0,2330
467,0,0,0,0,0,0,0,0,0,0,2335
468,0,0,0,0,0,0,0,0,0,0,2340
469,0,0,0,0,0,0,0,0,0,0,2345
470,0,0,0,0,0,0,0,0,0,0,2350
471,0,0,0,0,0,0,0,0,0,0,2355
472,0,0,0,0,0,0,0,0,0,0,2360
473,0,0,0,0,0,0,0,0,0,0,2365
474,0,0,0,0,0,0,0,0,0,0,2370
475,0,0,0,0,0,0,0,0,0,0,2375
476,0,0,0,0,0,0,0,0,0,0,2380
477,0,0,0,0,0,0,0,0,0,0,2385
478,0,0,0,0,0,0,0,0,0,0,2390
479,0,0,0,0,0,0,0,0,0,0,2395
480,0,0,0,0,0,0,0,0,0,0,2400
481,0,0,0,0,0,0,0,0,0,0,2405
482,0,0,0,0,0,0,0,0,0,0,2410
483,0,0,0,0,0,0,0,0,0,0,2415
484,0,0,0,0,0,0,0,0,0,0,2420
485,0,0,0,0,0,0,0,0,0,0,2425
486,0,0,0,0,0,0,0,0,0,0,2430
487,0,0,0,0,0,0,0,0,0,0,2435
488,0,0,0,0,0,0,0,0,0,0,2440
489,0,0,0,0,0,0,0,0,0,0,2445
490,0,0,0,0,0,0,0,0,0,0,2450
491,0,0,0,0,0,0,0,0,0,0,2455
492,0,0,0,0,0,0,0,0,0,0,2460
493,0,0,0,0,0,0,0,0,0,0,2465
494,0,0,0,0,0,0,0,0,0,0,2470
495,0,0,0,0,0,0,0,0,0,0,2475
496,0,0,0,0,0,0,0,0,0,0,2480
497,0,0,0,0,0,0,0,0,0,0,2485
498,0,0,0,0,0,0,0,0,0,0,2490
499,0,0,0,0,0,0,0,0,0,0,2495
500,0,0,0,0,0,0,0,0,0,0,2500
501,0,0,0,0,0,0,0,0,0,0,2505
502,0,0,0,0,0,0,0,0,0,0,2510
503,0,0,0,0,0,0,0,0,0,0,2515
504,0,0,0,0,0,0,0,0,0,0,2520
505,0,0,0,0,0,0,0,0,0,0,2525
506,0,0,0,0,0,0,0,0,0,0,2530
507,0,0,0,0,0,0,0,0,0,0,2535
508,0,0,0,0,0,0,0,0,0,0,2540
509,0,0,0,0,0,0,0,0,0,0,2545
510,0,0,0,0,0,0,0,0,0,0,2550
511,0,0,0,0,0,0,0,0,0,0,2555
512,0,0,0,0,0,0,0,0,0,0,2560
513,0,0,0,0,0,0,0,0,0,0,2565
514,0,0,0,0,0,0,0,0,0,0,2570
515,0,0,0,0,0,0,0,0,0,0,2575
516,0,0,0,0,0,0,0,0,0,0,2580
517,0,0,0,0,0,0,0,0,0,0,2585
518,0,0,0,0,0,0,0,0,0,0,2590
519,0,0,0,0,0,0,0,0,0,0,2595
520,0,0,0,0,0,0,0,0,0,0,2600
521,0,0,0,0,0,0,0,0,0,0,2605
522,0,0,0,0,0,0,0,0,0,0,2610
523,0,0,0,0,0,0,0,0,0,0,2615
524,0,0,0,0,0,0,0,0,0,0,2620
525,0,0,0,0,0,0,0,0,0,0,2625
526,0,0,0,0,0,0,0,0,0,0,2630
527,0,0,0,0,0,0,0,0,0,0,2635
528,0,0,0,0,0,0,0,0,0,0,2640
529,0,0,0,0,0,0,0,0,0,0,2645
530,0,0,0,0,0,0,0,0,0,0,2650
531,0,0,0,0,0,0,0,0,0,0,2655
532,0,0,0,0,0,0,0,0,0,0,2660
533,0,0,0,0,0,0,0,0,0,0,2665
534,0,0,0,0,0,0,0,0,0,0,2670
535,0,0,0,0,0,0,0,0,0,0,2675
536,0,0,0,0,0,0,0,0,0,0,2680
537,0,0,0,0,0,0,0,0,0,0,2685
538,0,0,0,0,0,0,0,0,0,0,2690
539,0,0,0,0,0,0,0,0,0,0,2695
540,0,0,0,0,0,0,0,0,0,0,2700
541,0,0,0,0,0,0,0,0,0,0,2705
542,0,0,0,0,0,0,0,0,0,0,2710
543,0,0,0,0,0,0,0,0,0,0,2715
544,0,0,0,0,0,0,0,0,0,0,2720
545,0,0,0,0,0,0,0,0,0,0,2725
546,0,0,0,0,0,0,0,0,0,0,2730
547,0,0,0,0,0,0,0,0,0,0,2735
548,0,0,0,0,0,0,0,0,0,0,2740
549,0,0,0,0,0,0,0,0,0,0,2745
550,0,0,0,0,0,0,0,0,0,0,2750
551,0,0,0,0,0,0,0,0,0,0,2755
552,0,0,0,0,0,0,0,0,0,0,2760
553,0,0,0,0,0,0,0,0,0,0,2765
554,0,0,0,0,0,0,0,0,0,0,2770
555,0,0,0,0,0,0,0,0,0,0,2775
556,0,0,0,0,0,0,0,0,0,0,2780
557,0,0,0,0,0,0,0,0,0,0,2785
558,0,0,0,0,0,0,0,0,0,0,2790
559,0,0,0,0,0,0,0,0,0,0,2795
560,0,0,0,0,0,0,0,0,0,0,2800
561,0,0,0,0,0,0,0,0,0,0,2805
562,0,0,0,0,0,0,0,0,0,0,2810
563,0,0,0,0,0,0,0,0,0,0,2815
564,0,0,0,0,0,0,0,0,0,0,2820
